Loading training data...
    Train err  |   Test err  |   Alpha   |   Loss   
             89| 0.591549295775| 0.638888888889|            0.0|  497.320185359
             90| 0.739436619718| 0.694444444444|            0.0|   602.22439258
             91| 0.661971830986| 0.666666666667|            0.0|   458.75956255
             92| 0.591549295775| 0.638888888889|            0.0|  700.525070378
             93|            0.5| 0.416666666667|            0.0|  242.560507598
             94| 0.591549295775| 0.638888888889|            0.0|  243.762387866
             95| 0.535211267606|            0.5|            0.0|  442.177404038
             96| 0.711267605634| 0.694444444444|            0.0|  168.743217061
             97| 0.429577464789| 0.416666666667|            0.0|  276.843714193
             98| 0.549295774648|            0.5|            0.0|  153.467598816
             99| 0.528169014085| 0.611111111111|            0.0|  283.104261678
            100| 0.528169014085| 0.472222222222|            0.0|  199.992008749
            101| 0.591549295775| 0.638888888889|            0.0|  323.989741366
